,image_name,label_site_x,label_site_y
0,20051020_43832_0100_PP.tif,1302,782
1,20051020_44338_0100_PP.tif,975,794
2,20051020_44349_0100_PP.tif,1299,788
3,20051020_44400_0100_PP.tif,978,776
4,20051020_44598_0100_PP.tif,1311,782
5,20051020_44692_0100_PP.tif,990,764
6,20051020_44714_0100_PP.tif,1152,680
7,20051020_44923_0100_PP.tif,1303,785
8,20051020_44982_0100_PP.tif,981,790
9,20051020_53997_0100_PP.tif,1308,776
10,20051020_57157_0100_PP.tif,1296,782
11,20051020_57566_0100_PP.tif,984,797
12,20051020_57622_0100_PP.tif,1314,833
13,20051020_57761_0100_PP.tif,975,800
14,20051020_57844_0100_PP.tif,1305,812
15,20051020_57967_0100_PP.tif,1149,761
16,20051020_58214_0100_PP.tif,987,794
17,20051020_61998_0100_PP.tif,984,809
18,20051020_62385_0100_PP.tif,1299,800
19,20051020_62615_0100_PP.tif,1293,779
20,20051020_62709_0100_PP.tif,1170,830
21,20051020_62802_0100_PP.tif,1077,689
22,20051020_63936_0100_PP.tif,978,794
23,20051020_64249_0100_PP.tif,978,782
24,20051020_64388_0100_PP.tif,1290,809
25,20051020_64775_0100_PP.tif,1131,755
26,20051020_64836_0100_PP.tif,1305,788
27,20051020_64945_0100_PP.tif,984,791
28,20051020_64993_0100_PP.tif,1302,785
29,20051020_65230_0100_PP.tif,1293,776
30,20051021_36097_0100_PP.tif,957,773
31,20051021_36208_0100_PP.tif,1296,776
32,20051021_39314_0100_PP.tif,1149,764
33,20051021_39719_0100_PP.tif,1278,785
34,20051021_39845_0100_PP.tif,1122,860
35,20051021_39914_0100_PP.tif,1284,788
36,20051021_40074_0100_PP.tif,1302,782
37,20051021_40248_0100_PP.tif,1299,794
38,20051021_51418_0100_PP.tif,984,800
39,20051021_51804_0100_PP.tif,1308,782
40,20051021_51994_0100_PP.tif,1305,791
41,20051021_57975_0100_PP.tif,969,800
42,20051021_58178_0100_PP.tif,987,788
43,20051021_58316_0100_PP.tif,1302,791
44,20051021_58388_0100_PP.tif,978,797
45,20051021_58522_0100_PP.tif,1293,794
46,20051021_58802_0100_PP.tif,1290,782
47,20051021_59136_0100_PP.tif,972,776
48,20051021_59589_0100_PP.tif,984,803
49,20051213_61951_0100_PP.tif,1314,785
50,20051213_62046_0100_PP.tif,987,797
51,20051213_62188_0100_PP.tif,1305,788
52,20051213_62251_0100_PP.tif,993,800
53,20051213_62314_0100_PP.tif,1290,791
54,20051213_62383_0100_PP.tif,966,809
55,20051213_62518_0100_PP.tif,981,782
56,20051213_62572_0100_PP.tif,1299,779
57,20051213_62648_0100_PP.tif,1110,776
58,20051214_40529_0100_PP.tif,984,800
59,20051214_40849_0100_PP.tif,1014,788
60,20051214_40912_0100_PP.tif,1296,779
61,20051214_40994_0100_PP.tif,984,800
62,20051214_41289_0100_PP.tif,981,767
63,20051214_42363_0100_PP.tif,1308,797
64,20051214_51039_0100_PP.tif,960,767
65,20051214_51071_0100_PP.tif,1290,776
66,20051214_51178_0100_PP.tif,978,800
67,20051214_51308_0100_PP.tif,984,779
68,20051214_51442_0100_PP.tif,981,791
69,20051214_51469_0100_PP.tif,1290,776
70,20051214_51609_0100_PP.tif,1161,806
71,20051214_51701_0100_PP.tif,954,782
72,20051214_51811_0100_PP.tif,969,779
73,20051214_52115_0100_PP.tif,987,797
74,20051214_52204_0100_PP.tif,1158,728
75,20051214_52242_0100_PP.tif,1284,716
76,20051214_52492_0100_PP.tif,1053,812
77,20051214_52707_0100_PP.tif,1293,788
78,20051214_53168_0100_PP.tif,1086,794
79,20051214_56169_0100_PP.tif,990,797
80,20051214_56242_0100_PP.tif,993,773
81,20051214_56269_0100_PP.tif,1302,761
82,20051214_56565_0100_PP.tif,1293,791
83,20051214_56636_0100_PP.tif,963,791
84,20051214_56688_0100_PP.tif,1299,776
85,20051214_56944_0100_PP.tif,972,761
86,20051214_56971_0100_PP.tif,1326,800
87,20051214_57125_0100_PP.tif,978,779
88,20051214_57154_0100_PP.tif,1299,770
89,20051214_57230_0100_PP.tif,993,800
90,20051214_57260_0100_PP.tif,1302,782
91,20051214_57377_0100_PP.tif,984,794
92,20051214_57404_0100_PP.tif,1302,788
93,20051214_57761_0100_PP.tif,981,770
94,20051214_57940_0100_PP.tif,1350,920
95,20060522_43643_0100_PP.tif,969,791
96,20060522_43758_0100_PP.tif,972,800
97,20060522_45069_0100_PP.tif,1302,791
98,20060522_45718_0100_PP.tif,1302,788
99,20060522_45777_0100_PP.tif,978,791
100,20060522_45796_0100_PP.tif,1299,791
101,20060522_45853_0100_PP.tif,1017,806
102,20060522_45935_0100_PP.tif,999,776
103,20060522_45967_0100_PP.tif,1305,776
104,20060522_46104_0100_PP.tif,1005,770
105,20060522_46149_0100_PP.tif,1308,800
106,20060522_46266_0100_PP.tif,1002,779
107,20060522_46400_0100_PP.tif,1293,785
108,20060523_43016_0100_PP.tif,987,791
109,20060523_43038_0100_PP.tif,1302,782
110,20060523_43248_0100_PP.tif,981,797
111,20060523_43333_0100_PP.tif,969,773
112,20060523_43354_0100_PP.tif,1263,791
113,20060523_45235_0100_PP.tif,1320,770
114,20060523_45316_0100_PP.tif,1287,785
115,20060523_45389_0100_PP.tif,1293,785
116,20060523_45449_0100_PP.tif,990,803
117,20060523_45467_0100_PP.tif,1296,779
118,20060523_45524_0100_PP.tif,1077,557
119,20060523_45548_0100_PP.tif,1314,776
120,20060523_45697_0100_PP.tif,1302,785
121,20060523_48161_0100_PP.tif,1302,773
122,20060523_48182_0100_PP.tif,987,785
123,20060523_48199_0100_PP.tif,1302,782
